ID,Name,Age,City
45,Sameer,34,Cairo
46,Sameer,32,Cairo
47,Noura,22,Alex
48,Noura,22,Alex
49,Noura,26,unknown
50,Noura,23,Alex
51,Fatma,25,Cairo
52,Fatma,25,Cairo
53,Fatma,26,Cairo
54,Fatma,27,Cairo
55,Ahmed,35,Cairo
56,Ahmed,35,Cairo
57,Ahmed,36,unknown
58,Ahmed,37,Cairo
59,Ahmed,34,Cairo
60,Salma,24,Giza
61,Salma,24,unknown
62,Salma,25,Giza
63,Salma,26,Giza
64,Heba,29,Cairo
65,Heba,29,Cairo
66,Heba,30,Cairo
67,Heba,28,unknown
68,Mai,21,Alex
69,Mai,21,Alex
70,Mai,22,unknown
71,Mai,20,Alex
72,Yara,23,Cairo
73,Yara,23,Cairo
74,Yara,24,Cairo
75,Yara,22,unknown
76,Kareem,27,Alex
77,Karim,27,Alex
78,Karim,28,Alex
79,Karim,26,unknown
80,Karim,29,Alex
